,filename,width,height,class,xmin,ymin,xmax,ymax
0,088_y_LuNHXB7bQ.jpg,800,533,mushroom,483,296,719,516
1,088_y_LuNHXB7bQ.jpg,800,533,mushroom,190,328,392,470
2,088_y_LuNHXB7bQ.jpg,800,533,mushroom,72,271,218,449
3,088_y_LuNHXB7bQ.jpg,800,533,mushroom,282,170,506,406
4,089_gVYja0jrLJQ.jpg,800,600,mushroom,15,86,275,362
5,089_gVYja0jrLJQ.jpg,800,600,mushroom,496,66,796,420
6,089_gVYja0jrLJQ.jpg,800,600,mushroom,329,91,523,339
7,090_zV2kIl2nwbY.jpg,750,506,mushroom,390,321,502,437
8,090_zV2kIl2nwbY.jpg,750,506,mushroom,95,364,191,472
9,090_zV2kIl2nwbY.jpg,750,506,mushroom,214,217,366,407
10,090_zV2kIl2nwbY.jpg,750,506,mushroom,51,141,243,367
11,090_zV2kIl2nwbY.jpg,750,506,mushroom,496,119,718,381
12,090_zV2kIl2nwbY.jpg,750,506,mushroom,191,8,431,218
13,090_zV2kIl2nwbY.jpg,750,506,mushroom,340,74,498,284
14,091_DP3sGfFoSx0.jpg,800,600,mushroom,53,220,309,482
15,091_DP3sGfFoSx0.jpg,800,600,mushroom,275,117,479,393
16,091_DP3sGfFoSx0.jpg,800,600,mushroom,398,52,576,322
17,091_DP3sGfFoSx0.jpg,800,600,mushroom,496,275,654,463
18,091_DP3sGfFoSx0.jpg,800,600,mushroom,628,352,732,478
19,092_DERH9E3-ATk.jpg,533,800,mushroom,174,301,382,639
20,093_8wCBpma2Hps.jpg,750,563,mushroom,5,12,315,310
21,094_enU04MrUSBQ.jpg,800,533,mushroom,163,71,363,301
22,094_enU04MrUSBQ.jpg,800,533,mushroom,363,107,707,401
23,095_Nbo-W6d8WNM.jpg,800,533,mushroom,118,231,232,409
24,095_Nbo-W6d8WNM.jpg,800,533,mushroom,581,257,735,411
25,095_Nbo-W6d8WNM.jpg,800,533,mushroom,446,84,574,234
26,095_Nbo-W6d8WNM.jpg,800,533,mushroom,402,235,532,337
27,095_Nbo-W6d8WNM.jpg,800,533,mushroom,301,309,451,481
28,095_Nbo-W6d8WNM.jpg,800,533,mushroom,208,10,470,322
29,096_Al-C5kAdQ3Q.jpg,800,600,mushroom,71,247,201,393
30,096_Al-C5kAdQ3Q.jpg,800,600,mushroom,114,408,224,542
31,096_Al-C5kAdQ3Q.jpg,800,600,mushroom,179,10,559,350
32,097_SpgTx-oyDS8.jpg,800,600,mushroom,20,64,264,440
33,097_SpgTx-oyDS8.jpg,800,600,mushroom,275,164,451,456
34,097_SpgTx-oyDS8.jpg,800,600,mushroom,441,68,659,332
35,097_SpgTx-oyDS8.jpg,800,600,mushroom,421,321,667,511
36,097_SpgTx-oyDS8.jpg,800,600,mushroom,619,138,785,462
37,098_kZeLGttR7iU.jpg,570,428,mushroom,67,43,379,399
38,100_w6tcyq1AMVk.jpg,1058,794,mushroom,10,196,260,484
39,100_w6tcyq1AMVk.jpg,1058,794,mushroom,257,162,495,460
40,100_w6tcyq1AMVk.jpg,1058,794,mushroom,574,214,720,372
41,100_w6tcyq1AMVk.jpg,1058,794,mushroom,866,258,1048,458
42,101_m1QUT_IvswY.jpg,839,558,mushroom,144,299,236,393
43,101_m1QUT_IvswY.jpg,839,558,mushroom,396,74,622,374
44,101_m1QUT_IvswY.jpg,839,558,mushroom,175,31,387,421
45,101_m1QUT_IvswY.jpg,839,558,mushroom,584,312,812,478
46,102_8dfOpSgtVsc.jpg,597,448,mushroom,199,19,317,261
47,102_8dfOpSgtVsc.jpg,597,448,mushroom,356,54,466,256
48,102_8dfOpSgtVsc.jpg,597,448,mushroom,45,115,435,403
49,103_PteuQn34t3Q.jpg,1200,902,mushroom,393,163,783,583
50,104_1SQ2JlcvPRw.jpg,527,800,mushroom,42,111,362,647
51,105_xRDlUeVh5-c.jpg,800,655,mushroom,126,110,408,416
52,105_xRDlUeVh5-c.jpg,800,655,mushroom,378,115,628,477
53,106_uq4J1lNPq_E.jpg,698,550,mushroom,57,151,273,327
54,106_uq4J1lNPq_E.jpg,698,550,mushroom,303,182,463,312
55,107_Y5slg-F0438.jpg,554,550,mushroom,179,46,369,448
56,108_SOWwJuh9658.jpg,799,600,mushroom,233,107,755,423
57,109_mApfQHzHo0k.jpg,800,598,mushroom,402,1,506,271
58,109_mApfQHzHo0k.jpg,800,598,mushroom,586,72,736,310
59,109_mApfQHzHo0k.jpg,800,598,mushroom,17,114,495,462
60,109_mApfQHzHo0k.jpg,800,598,mushroom,230,66,440,298
61,110_CLBtRSNqpXA.jpg,760,569,mushroom,254,116,406,432
62,110_CLBtRSNqpXA.jpg,760,569,mushroom,380,51,568,383
63,111_YG1OfpJRQGs.jpg,700,483,mushroom,168,42,266,258
64,111_YG1OfpJRQGs.jpg,700,483,mushroom,427,12,493,98
65,111_YG1OfpJRQGs.jpg,700,483,mushroom,318,196,396,276
66,111_YG1OfpJRQGs.jpg,700,483,mushroom,164,183,696,379
67,114_jULazA13QC4.jpg,800,600,mushroom,216,92,538,422
68,115_iRayLid_eOM.jpg,800,600,mushroom,199,86,363,346
69,115_iRayLid_eOM.jpg,800,600,mushroom,364,161,488,297
70,115_iRayLid_eOM.jpg,800,600,mushroom,471,261,593,429
71,116_V-662GMGI6U.jpg,800,600,mushroom,144,256,286,472
72,116_V-662GMGI6U.jpg,800,600,mushroom,435,258,539,444
73,116_V-662GMGI6U.jpg,800,600,mushroom,551,194,639,366
74,116_V-662GMGI6U.jpg,800,600,mushroom,201,7,427,349
75,117_2i4Ly-hB5rY.jpg,800,600,mushroom,150,285,322,469
76,117_2i4Ly-hB5rY.jpg,800,600,mushroom,337,11,571,435
77,117_2i4Ly-hB5rY.jpg,800,600,mushroom,204,82,406,416
78,117_2i4Ly-hB5rY.jpg,800,600,mushroom,354,409,432,535
79,117_2i4Ly-hB5rY.jpg,800,600,mushroom,439,431,521,509
80,117_2i4Ly-hB5rY.jpg,800,600,mushroom,531,338,611,460
81,118_ooKU3s1k04I.jpg,620,473,mushroom,172,34,354,242
82,119_gkCWGoKbqoI.jpg,570,428,mushroom,165,93,285,329
83,119_gkCWGoKbqoI.jpg,570,428,mushroom,59,192,175,316
84,119_gkCWGoKbqoI.jpg,570,428,mushroom,278,113,410,297
85,119_gkCWGoKbqoI.jpg,570,428,mushroom,424,125,526,291
86,119_gkCWGoKbqoI.jpg,570,428,mushroom,277,35,489,157
87,119_gkCWGoKbqoI.jpg,570,428,mushroom,44,35,272,315
88,120_xn0MqTQCVVQ.jpg,750,584,mushroom,412,375,520,511
89,120_xn0MqTQCVVQ.jpg,750,584,mushroom,86,280,262,474
90,120_xn0MqTQCVVQ.jpg,750,584,mushroom,274,39,528,427
91,120_xn0MqTQCVVQ.jpg,750,584,mushroom,525,309,663,475
92,121_0mE3kiyOk4k.jpg,800,600,mushroom,348,40,596,556
93,122_nns1AETCIvI.jpg,771,530,mushroom,150,128,474,466
94,123_tvmDJsDVm9M.jpg,800,533,mushroom,42,189,336,455
95,123_tvmDJsDVm9M.jpg,800,533,mushroom,294,60,574,436
96,123_tvmDJsDVm9M.jpg,800,533,mushroom,527,311,651,451
97,124_e0q5vyJcNJ4.jpg,800,533,mushroom,242,110,540,420
98,126_3SeJ18AOnG0.jpg,620,465,mushroom,100,31,260,271
99,126_3SeJ18AOnG0.jpg,620,465,mushroom,368,220,484,332
100,127_8zUj5hjIlxE.jpg,600,800,mushroom,107,237,327,595
101,127_8zUj5hjIlxE.jpg,600,800,mushroom,264,20,570,590
102,128_m_r16iUGQU8.jpg,425,599,mushroom,102,77,232,431
103,128_m_r16iUGQU8.jpg,425,599,mushroom,189,34,335,450
104,129_ZbQNXa3mIxc.jpg,1024,719,mushroom,118,123,418,565
105,129_ZbQNXa3mIxc.jpg,1024,719,mushroom,464,191,716,639
106,130_A2S1-BmH6QU.jpg,949,750,mushroom,414,260,608,676
107,130_A2S1-BmH6QU.jpg,949,750,mushroom,113,93,623,701
108,131_dvJEzL2mKmA.jpg,960,689,mushroom,238,97,532,535
109,132_ODEnFrF0brU.jpg,426,600,mushroom,54,70,214,338
110,132_ODEnFrF0brU.jpg,426,600,mushroom,216,37,382,385
111,133_s1N6U_Jr3Ek.jpg,570,462,mushroom,371,101,505,361
112,133_s1N6U_Jr3Ek.jpg,570,462,mushroom,40,37,378,335
113,134_pHlxNUf1rxA.jpg,570,428,mushroom,138,46,284,256
114,134_pHlxNUf1rxA.jpg,570,428,mushroom,48,179,194,323
115,134_pHlxNUf1rxA.jpg,570,428,mushroom,312,22,470,238
116,136_bt7HeOPdPNM.jpg,1219,913,mushroom,120,83,1082,833
117,137_CzgKuYZU4bU.jpg,1024,768,mushroom,295,98,649,524
118,138_kCA0Zae2KX0.jpg,1010,710,mushroom,90,127,806,483
119,138_kCA0Zae2KX0.jpg,1010,710,mushroom,678,417,904,647
120,139_2tM1nrJmAeY.jpg,360,480,mushroom,1,13,355,343
121,140_2tM1nrJmAeY.jpg,360,480,mushroom,1,8,351,346
122,141_zaaLqAyIHuQ.jpg,748,572,mushroom,411,153,667,469
123,141_zaaLqAyIHuQ.jpg,748,572,mushroom,78,162,414,518
124,142_TeTFlLDEyW4.jpg,1000,750,mushroom,251,192,659,658
125,143_ZpRWUcr7GhA.jpg,1000,750,mushroom,258,102,648,636
126,144_FnkvkEdRMr0.jpg,620,690,mushroom,79,93,527,567
127,145_2JCprUI2Ugw.jpg,1024,680,mushroom,214,138,512,388
128,145_2JCprUI2Ugw.jpg,1024,680,mushroom,59,282,329,552
